department,focus_group_name,pain_point,expectations
DOCE,Zoning,"A lot of previous approvals are in IPS, but don’t have final documents attached.",
DOCE,Zoning,When parcels are resubdivided or their name changes it can be hard to track history,
DOCE,Zoning,Reading through complaints can be annoying when looking at the parcel history too,
DOCE,Zoning,,"(to keep) The ability to filter by type, permit, project, complaint, etc."
DOCE,Zoning,,"(to keep) It’s very terse, a lot of information is provided or most applications"
DOCE,Zoning,,"I wish all previous things that are in OnBase were in IPS. So, I didn’t have to switch between those often"
DOCE,Zoning,"Communication: applicant, reviewer",
DOCE,Zoning,,(to keep) Comment summary sheet
DOCE,Zoning,,"(to keep) Date management: change, modify, date"
DOCE,Zoning,,(to keep) List of application history
DOCE,Zoning,,(to keep) Status overview dashboard
DOCE,Zoning,"Communication: applicant, reviewer",
DOCE,Zoning,,(to keep) Comment summary sheet
DOCE,Zoning,,(to keep) Data management: change & modify
DOCE,Zoning,,(to keep) List of application history: date
DOCE,Zoning,,(to keep) Status overview dashboard
FPB,Fire,I find IPS to be non-intuitive and confusing,
FPB,Fire,Researching history of violations is time consuming,
FPB,Fire,Cloud based would be better,
FPB,Fire,To sign off on a Certificate of Occupancy or Certificate of Completion have to look in multiple places to find applicable closed inspections,
FPB,Fire,Overall look is outdated,
FPB,Fire,,(to keep) The tickle date function seems to be valuable
FPB,Fire,,(to keep) Finding the history of a property or business takes several steps
FPB,Fire,,IPS on mobile devices. Real time inspection reports and documentation. Integrate IPS violations into other Fire Department functions
FPB,Fire,Missing information regarding parcel,
FPB,Fire,Missing information regarding parcel,
FPB,Fire,From reviewers/inspections,
FPB,Fire,"Multiple ways/places to document – action, images/documents, inspections",
FPB,Fire,Inactive parcel that are actually active,
FPB,Fire,Scheduling - need to be put in multiple places,
FPB,Fire,,Import information like exact CO and capacity available without digging
FPB,Fire,,Have a more profound way of finding information
